sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-3790_iter-1,depth-3790_iter-2,depth-3790_iter-3,depth-3790_iter-4,depth-3790_iter-5,depth-3790_iter-6,depth-3790_iter-7,depth-3790_iter-8,depth-3790_iter-9,depth-3790_iter-10,depth-7579_iter-1,depth-7579_iter-2,depth-7579_iter-3,depth-7579_iter-4,depth-7579_iter-5,depth-7579_iter-6,depth-7579_iter-7,depth-7579_iter-8,depth-7579_iter-9,depth-7579_iter-10,depth-11368_iter-1,depth-11368_iter-2,depth-11368_iter-3,depth-11368_iter-4,depth-11368_iter-5,depth-11368_iter-6,depth-11368_iter-7,depth-11368_iter-8,depth-11368_iter-9,depth-11368_iter-10,depth-15157_iter-1,depth-15157_iter-2,depth-15157_iter-3,depth-15157_iter-4,depth-15157_iter-5,depth-15157_iter-6,depth-15157_iter-7,depth-15157_iter-8,depth-15157_iter-9,depth-15157_iter-10,depth-18946_iter-1,depth-18946_iter-2,depth-18946_iter-3,depth-18946_iter-4,depth-18946_iter-5,depth-18946_iter-6,depth-18946_iter-7,depth-18946_iter-8,depth-18946_iter-9,depth-18946_iter-10,depth-22735_iter-1,depth-22735_iter-2,depth-22735_iter-3,depth-22735_iter-4,depth-22735_iter-5,depth-22735_iter-6,depth-22735_iter-7,depth-22735_iter-8,depth-22735_iter-9,depth-22735_iter-10,depth-26524_iter-1,depth-26524_iter-2,depth-26524_iter-3,depth-26524_iter-4,depth-26524_iter-5,depth-26524_iter-6,depth-26524_iter-7,depth-26524_iter-8,depth-26524_iter-9,depth-26524_iter-10,depth-30313_iter-1,depth-30313_iter-2,depth-30313_iter-3,depth-30313_iter-4,depth-30313_iter-5,depth-30313_iter-6,depth-30313_iter-7,depth-30313_iter-8,depth-30313_iter-9,depth-30313_iter-10,depth-34103_iter-1,depth-34103_iter-2,depth-34103_iter-3,depth-34103_iter-4,depth-34103_iter-5,depth-34103_iter-6,depth-34103_iter-7,depth-34103_iter-8,depth-34103_iter-9,depth-34103_iter-10,Location,Site layer,Site_layer,Site,Phasic_community,Type,Depth_group_new,Depth_group_cm,Depth_layer
st1_1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.541962548610329,7.472997388761261,7.559044388168317,7.532317530978002,7.498206405261789,7.522418482421099,7.494084082491126,7.52822445026633,7.541644378938884,7.519993833916158,7.693908540856381,7.652834609700249,7.720977256917672,7.746018326990348,7.691014966705081,7.693297822408327,7.671353822816063,7.702073727499087,7.677235523216934,7.719791927669166,7.724568463089282,7.76442841252213,7.725710591640124,7.790566325783751,7.728770252014532,7.711462274811204,7.773102710666298,7.800468477766962,7.716717741406709,7.729756491786229,7.845155492554054,7.800566476882765,7.756860120611408,7.809741440802229,7.832781341390951,7.787253624736035,7.830339166127279,7.770877536673684,7.789534932031971,7.787210734918732,7.844807481334992,7.849253919301126,7.837344178883289,7.844174082208381,7.834582546740239,7.838213349685405,7.82455912625041,7.797214773970424,7.83749201553854,7.850189616122287,7.842962704614681,7.836933977156169,7.871485447916836,7.854416745207064,7.844233357048332,7.866515819591038,7.886949727713834,7.845376786312919,7.850572461831492,7.855726366483805,7.845148935127149,7.861360081362409,7.839328356490308,7.861320476038014,7.87739058531003,7.868028783527667,7.881758442807484,7.897750360903002,7.844173614731098,7.864427749392785,7.885644365466383,7.879927070797391,7.877855914542868,7.893130491947215,7.901221655487189,7.876393156664616,7.873139993089336,7.890322587761491,7.8772719775016355,7.909368500962867,7.878645307242903,7.897604477519589,7.892128801263957,7.907645407621323,7.914876590299071,7.894736847856147,7.912003445188876,7.8982302573409,7.89578011941737,7.871524722627245,Panama-South,Mangrove 0-4cm,Mangrove 0 to 30cm,SSPS1,Mangrove,Brackish,0-4cm,0_to_30,Acrotelm
st1_2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.875820332330285,7.835151957679752,7.853279308323038,7.832449952362735,7.881992352459651,7.862264639165677,7.80860642156743,7.81891815935886,7.951995666936454,7.815418351634006,8.017858370661553,8.07355160796055,7.981817235097612,8.04417318511717,8.059655036500043,8.09471429009666,8.058535737469814,8.004345731708378,8.112193456927331,7.993721934420777,8.135358035339163,8.120201304794705,8.164729098545765,8.106288977607955,8.120403888181999,8.12562868599176,8.15509155270022,8.048265101473572,8.130142592229985,8.133349422309005,8.15532789402595,8.140397681761891,8.167733844019885,8.115879952824413,8.178962668236537,8.162138334656309,8.162327573978411,8.15952659934757,8.18326370009841,8.14710178676756,8.183992653603486,8.18055546892521,8.190847844456872,8.229734310346146,8.160420954807769,8.180935659337706,8.148763932855655,8.198555970119914,8.175897693383467,8.147649354919581,8.203226433913322,8.176885248958811,8.188405308419561,8.184252808939247,8.182476873111401,8.206408420425772,8.173254757494645,8.211948320450958,8.205483928647347,8.229221833652575,8.225480140514666,8.225149843611652,8.207122017677245,8.232564141768309,8.239440039179357,8.212372942865022,8.208548625637786,8.183529238878558,8.210815896644952,8.24503477237509,8.243812209454838,8.206258684614365,8.249147182725123,8.262097275235085,8.223110306581237,8.252321292171796,8.204610174486842,8.221706596174748,8.198221395948744,8.205459998158108,8.230828952205874,8.230240125741512,8.254929415712438,8.225573332224032,8.244096132885701,8.230912151692214,8.279558689955177,8.235865950039539,8.246544549136086,8.238342347436904,Panama-South,Mangrove 16-30cm,Mangrove 0 to 30cm,SSPS1,Mangrove,Brackish,16-30cm,0_to_30,Acrotelm
st1_3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8.957215532452686,8.886734043573268,8.919782044024995,8.915439260413244,8.906448817901284,8.921687711641317,8.879431794839814,8.92947128058968,8.854557209520001,9.016402203665818,9.09153946139983,9.102470403288054,9.091296778295632,9.106049550868024,9.14428874898648,9.124802911332338,9.087310386888968,9.09714460915176,9.116714688434351,9.082107098103569,9.20087326912107,9.22695420499489,9.201170092738971,9.18193537063956,9.196950830299713,9.213703736661216,9.207983684011216,9.228429895685863,9.219338266896644,9.206993629934718,9.250781222245545,9.215719864266092,9.252051149318383,9.260197215656332,9.2615748003159,9.270223713724112,9.267765475813103,9.264603270662274,9.244296414589837,9.294640262212338,9.275491392976656,9.286498459029763,9.319109272342688,9.311330554549617,9.307164747946432,9.30218781263815,9.300504638382776,9.31097622649569,9.307488382533467,9.29574942711009,9.33652523003058,9.322919514391252,9.334117042759187,9.330644139955476,9.326554199814256,9.310529146070364,9.317729369237655,9.282217054549324,9.349390339522213,9.345002433412736,9.340741644297276,9.33214043054471,9.358555999467605,9.32907803586902,9.352939368444227,9.32419071992299,9.340280609085848,9.35123600189909,9.357727433367222,9.299626214667216,9.35228363172756,9.36168035483544,9.348310095112891,9.353392595018729,9.35257358219668,9.375221084652152,9.3756940373575,9.345989433895904,9.344344650411282,9.364475798429746,9.336341384029511,9.388388901791927,9.367875898909302,9.369633837261478,9.369093834454864,9.3666153358168,9.38126646647193,9.383075354345872,9.377119883627149,9.365698255857012,Panama-South,Mangrove 31-60cm,Mangrove 30 to 100cm,SSPS1,Mangrove,Brackish,31-60cm,30_to_100,Catotelm
st1_4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8.728254630262288,8.853426152573451,8.760604159156454,8.80187282491839,8.834232816959164,8.781679970139887,8.878205048965633,8.802612614230357,8.782128500987174,8.866750779981626,8.964400478983093,9.037124269222412,9.050870897226696,9.028385744457264,9.03834906428582,9.051826782470638,9.004822556460637,9.024595642561122,9.078682413268329,9.00619554324182,9.112008418480734,9.111622122415218,9.125731505245676,9.115199898186752,9.099411015612375,9.113451883630844,9.13524543531927,9.093465359863536,9.168064248281038,9.087890612763742,9.169322533729275,9.178798855748711,9.168601501186778,9.155466221034487,9.142483498920368,9.163997072643912,9.20622593527206,9.184657460637268,9.151008049357293,9.18100011218493,9.219892513393876,9.210982970315538,9.183839354201904,9.20464020091079,9.202301726423602,9.20605430851626,9.21408073561295,9.229229230740485,9.216979497829753,9.192824481534997,9.179365346365364,9.228606726363203,9.232746119361968,9.226386867966092,9.183967312805017,9.208898497566707,9.218569407845449,9.224764838290486,9.22355926767015,9.222630192256112,9.274120446345986,9.243798117772773,9.25635908432193,9.224344569732851,9.238389032130252,9.275587106149654,9.267016100706346,9.250371563923109,9.25063550482692,9.230332424095767,9.255251752622542,9.25850698336722,9.258612343741536,9.24887138383106,9.254618534518912,9.275647078418215,9.25628342391213,9.266516174407666,9.251007862945563,9.267006650772007,9.276184100648743,9.26816001124818,9.27787776288984,9.288618869229431,9.266505093038088,9.28249920497943,9.252528683607707,9.261457008061246,9.269228576300614,9.287082118951314,Panama-South,Mangrove 90-120cm,Mangrove 100 to 200cm,SSPS1,Mangrove,Brackish,90-120cm,100_to_200,Catotelm
st1_5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8.812310194105168,8.927486435242976,8.851589472173707,8.85659172836805,8.895285401178922,8.911096835545766,8.834499791356606,8.867583524763306,8.833137662755458,8.842572865587066,8.993835604536194,9.042356344394848,9.095249548771305,9.077077933738444,9.021932163161198,9.04126366409638,9.045856282884328,9.032337990237211,8.958607334272447,9.021521162464198,9.153012294602068,9.156752026873107,9.120959720993028,9.132822088337734,9.139151576244656,9.13041902077452,9.140051962492366,9.113021669638888,9.186354288630184,9.10026069436745,9.158710211163582,9.201594492331743,9.2067871156818,9.197695181059586,9.156603145840126,9.173214793000318,9.208560376022993,9.152911316618106,9.179949797821283,9.197295053372503,9.17471144146844,9.210722597451769,9.181020572827425,9.188277638877636,9.20623310526902,9.23625077661224,9.215824534446396,9.200728004670712,9.203182757717352,9.236746322790092,9.243825487835243,9.220490963680462,9.206700888610536,9.222117923409725,9.236592728205997,9.22498130049718,9.260535581045016,9.244817452727917,9.23727587397659,9.23004126860808,9.238515803218204,9.25260244593609,9.244980240141972,9.216821764206353,9.234555133818382,9.21314485802794,9.271607389882329,9.260909241009166,9.239225805112309,9.268233942153731,9.255757662902951,9.272239194261356,9.258951369194616,9.265411929574467,9.261580105808855,9.257158007044117,9.26139118036898,9.252588440067733,9.267738620433606,9.273241538235917,9.290052183338654,9.28368082518972,9.277837790936978,9.285448306697884,9.27143823306927,9.28366060442395,9.282251595288251,9.268098844742026,9.282541996245392,9.26868116798226,Panama-South,Mangrove 130-200cm,Mangrove 100 to 200cm,SSPS1,Mangrove,Brackish,130-200cm,100_to_200,Catotelm
st1_6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.93041841670853,7.879719217695801,7.882906568306066,7.924972942008531,7.923140260025889,7.902878400000474,7.9646530889950515,7.817301644476487,7.88497567881507,7.898736717353024,8.06226507562505,8.028730275877468,8.03783839451372,8.041243259582732,8.087011818086447,8.01245261612118,8.02090030581177,8.03543502060287,8.007126427034406,7.998048846725846,8.074314958887095,8.062782431946395,8.110816666369121,8.064607999932239,8.076611225009628,8.108638872293888,8.057540213763751,8.100870742514363,8.059207488532444,8.040162946917006,8.132563572901537,8.109224485807989,8.138774219157279,8.115286532069318,8.142334205326705,8.127781999319367,8.097301738336164,8.11292200728537,8.094553888799702,8.156991777011172,8.150598113135986,8.1192018816233,8.174436986844167,8.154736613103498,8.13118550241133,8.129944467997793,8.137164447097536,8.142538129100098,8.106711374665727,8.139587822632002,8.169414465077528,8.142944316435978,8.163250800774176,8.166007272310331,8.138612714005578,8.153295949060835,8.13078076074536,8.1586054259891,8.144920064658155,8.14987593714304,8.16357692413987,8.155890673816689,8.196012026162862,8.18020350680208,8.168538173004075,8.160125429606476,8.1696935002219,8.158616806809873,8.148884800569842,8.17911761165673,8.18638529133858,8.15868609776418,8.191505484239775,8.184071568874215,8.162743176367323,8.18439085983487,8.168333154686657,8.162157516483472,8.15611756446935,8.18092521516141,8.178884200770257,8.169386948616523,8.183457278506456,8.187968836987624,8.199661553648166,8.160239476608275,8.20206175501476,8.174578875666205,8.168845807315414,8.181029549616447,Panama-South,Mangrove 130-200cm,Mangrove 100 to 200cm,SSPS1,Mangrove,Brackish,130-200cm,100_to_200,Catotelm
st1_7,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.929834283012923,7.955307618620284,7.930422043678632,7.9892218865812925,7.918398973122477,8.004769416024743,7.924626410005623,7.930375173665294,7.897542759988216,7.984477148990383,8.0438250247111,8.127248869578468,8.041958535991146,8.096979070288942,8.078187251563113,8.103767447376178,8.102331213137148,8.119831649579012,8.116204633012812,8.09366871658151,8.125727845677867,8.101969274943558,8.10828081562758,8.121231395638084,8.164404416398298,8.154119262373042,8.147320870755651,8.13509474833658,8.156474527574309,8.144242071196667,8.15261554600736,8.181955030873711,8.1819764610917,8.164970185001392,8.189074303026793,8.177916802114986,8.140314561832682,8.152871499986343,8.166328629296485,8.166498142152623,8.21136263439637,8.180943046251194,8.182707553380418,8.15968901164496,8.192859063648621,8.171335734805458,8.195945131927498,8.197399143198568,8.183387595121163,8.188330339793444,8.207463084321782,8.217349354117324,8.20387735890391,8.215741749086115,8.210689235690317,8.186835851769516,8.179536420789505,8.203658927287725,8.199502216644232,8.209803777918653,8.197410369094456,8.19913138876221,8.205097036967514,8.238215904976208,8.187637129227298,8.217280587346625,8.210196701757935,8.235970984687699,8.210429450936239,8.218629196550227,8.21451834009371,8.209904940728638,8.239237236142364,8.20943429777116,8.20457367178341,8.219396564752644,8.219339060866625,8.225381399004224,8.217090950267396,8.20351455890805,8.216138273700208,8.208108075394195,8.244421892129662,8.205072299434157,8.220930102314,8.231833023107233,8.224811760195038,8.249605976542588,8.238333010305311,8.235703051786961,Panama-South,Mangrove 130-200cm,Mangrove 100 to 200cm,SSPS1,Mangrove,Brackish,130-200cm,100_to_200,Catotelm
st2_1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.58122392439872,7.483695456917066,7.580131238376333,7.521288060999827,7.569719250512719,7.5044200526369345,7.597618727425167,7.626179072002401,7.61493558198145,7.580951606433453,7.706630125816093,7.7468089448437745,7.727765416327426,7.713266229866818,7.695356068079914,7.6548884393865695,7.698270183619748,7.698194694330203,7.720885153424764,7.637547371777539,7.764067096160378,7.773307673553171,7.73697522827872,7.775078519205413,7.734543839547999,7.784794871991436,7.787429353086989,7.783181418025864,7.791995523663349,7.80933430824669,7.775633679373563,7.814282589627628,7.799484504561493,7.816921992661428,7.803263418673054,7.792433886214997,7.754229771028676,7.804031453298509,7.835739498702155,7.819821359336974,7.854472029459721,7.799362592856604,7.813646293558805,7.815775854226866,7.773867368029671,7.809142650113372,7.832521255360276,7.850383587655323,7.83756991613215,7.821310506277205,7.825384643268717,7.810444221008323,7.851078871972338,7.829191726433587,7.832951798056358,7.823475455317223,7.816540411677272,7.835079715645806,7.836970320292497,7.857128929861411,7.868944408710126,7.857325913858809,7.838004685069992,7.878115858903486,7.846013926458241,7.843570274275205,7.872839717024656,7.871743837901056,7.873968913930685,7.879729227679495,7.861789577931741,7.859837483954908,7.8712455347188355,7.886723245307741,7.873670129545752,7.853424012113417,7.866806566175578,7.895494932409593,7.8625999965339375,7.864317433505726,7.877542256049378,7.898224448848805,7.865743656041215,7.876857908544534,7.875623962282361,7.889124525994278,7.892764221213294,7.875658273360662,7.874443039331613,7.86522074850336,Panama-South,Mixed forest 0-4cm,Mixed forest 0 to 30cm,SSPS2,Mixed forest,Freshwater,0-4cm,0_to_30,Acrotelm
st2_2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6.142698358185275,6.074698396319846,6.130134285083503,6.019378355583625,6.05635427525372,6.171786984395975,6.060116095392744,6.344042080764451,6.009481008629227,6.078670566022164,6.173942263491562,6.286713322459075,6.302555583725541,6.189365107393593,6.227295654327127,6.216310219852025,6.2260277313714765,6.300507427927088,6.285674541270014,6.276446362372696,6.373019047539716,6.273002309235975,6.333432435574228,6.338284078987472,6.280790905174758,6.302332400802752,6.311464603795078,6.328620086158453,6.311077241085306,6.315687786180963,6.394257051881583,6.330407689079344,6.385149638476809,6.3887392584544,6.295934293252469,6.316359555366541,6.282533539809724,6.295194208250475,6.293532459604893,6.315795248148487,6.366025931751799,6.344261348556861,6.3195019771457925,6.3686145387323885,6.319884193684477,6.321732781718604,6.365113864017602,6.376782088936393,6.332440869017763,6.382580111256864,6.318956180855637,6.352753865631157,6.393555851842869,6.377609088712046,6.361018666997462,6.374063744223472,6.389163261452557,6.349416078135576,6.397457028846159,6.40724234486478,6.382720680765799,6.3783350623696125,6.349220512232662,6.3693575414796975,6.341226480065491,6.377648514221197,6.349509290520123,6.3874353383387055,6.354237004328238,6.371815359553016,6.347347761987269,6.3882283174458365,6.374737020232049,6.3950151026053765,6.391377445437345,6.3782506444636535,6.364535212724828,6.381336775466488,6.384188703760978,6.370134307602221,6.398661360624586,6.3670744654516325,6.378674764272923,6.377575335308427,6.384057593047453,6.381290919864328,6.389145162221335,6.39675753719965,6.375248666046705,6.36377407550208,Panama-South,Mixed forest 5-15cm,Mixed forest 0 to 30cm,SSPS2,Mixed forest,Freshwater,5-15cm,0_to_30,Acrotelm
st2_3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.783465783420555,7.774311366401454,7.853087650448948,7.782198854161846,7.823363833842664,7.870272737311616,7.813243985574959,7.80468503253738,7.822686816920564,7.837309972096312,7.874820592675883,7.877858008461243,7.901740045312461,7.92170307749067,7.912622745021173,7.923797592571052,7.922140942824277,7.916024948386097,7.8986467034034815,7.9400174674514,7.987252865639799,7.939235723759761,7.96407378403567,7.976570088210209,8.012858983822918,7.989407106350674,7.961862383621613,7.997979629405428,7.981792231983652,7.970945153293623,8.011070274863034,7.981074257727473,7.957748794432467,8.009811861593546,7.981122246486995,8.015852346146314,7.985941660766553,8.012991702961704,8.014101431148285,7.967339059154925,8.031098265594387,8.015225429710227,8.0402444490303,8.01025757343309,7.997823361889449,8.038621728020011,8.023810683611877,8.007852875982984,8.077916160056601,8.036096968225017,8.034368745401105,8.034715436170872,8.026505556727393,8.030960414952292,8.032245516090008,8.030872031908304,8.052103339512007,8.005762716137154,8.043440665161109,8.023537160305809,8.026628758198399,8.050436092963267,8.019380755436709,8.017914326306613,8.047747640927751,8.053875663286792,8.019481556819793,8.05127222957911,8.05023855556804,8.029522719892803,8.043613359705391,8.038508445029745,8.058886214832365,8.045875994766847,8.05961086839348,8.03728570366286,8.052639227296899,8.065783608490847,8.07209176080211,8.017245718274419,8.03991808560669,8.040508579857516,8.039554692728618,8.038284971926554,8.04815618983465,8.051089668643122,8.068829744802612,8.056244039370233,8.06897066389353,8.048751922986733,Panama-South,Mixed forest 16-30cm,Mixed forest 0 to 30cm,SSPS2,Mixed forest,Freshwater,16-30cm,0_to_30,Acrotelm
