Feature ID	Taxon	Confidence
5ea77e55f95563fefe59cc37752fa283	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__;g__;s__	0.9999999999996874
381346c654bc9d12a534e1d1c4605d70	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__;s__	0.9999999990897805
00a0c784369dedfe6e5b3e57abe945de	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__;s__	0.9999958516432554
c3e168f8ee3ffbf093cdd98c6e20eeb8	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__;s__	0.9999999993631263
6a620e70d72999fe2747ddecc43eda5e	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__;s__	0.9999999999991473
9d9d608efc425c7ee340072ad4a43043	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__;g__;s__	0.999999999073637
ec137f53565a27ad80a6d9860ea41671	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__;s__	0.9999999999346727
28a02c812f903d5bca221846fb4e66bf	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__;s__	0.9999999999922977
cfef55526c6137725cf96688df5c9f25	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__;s__	0.9999999999999574
04ae4f1839df5c7d8ff1153a04082b27	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__;s__	0.9999999981650376
80db6551fcdae289a2247448ca001969	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__;s__	0.9999999997788933
d82f4f6b37203fae241ac11dd39e3f81	d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1;s__	0.9949921852010403
95d96e6c9388a587a872f29396fb2250	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__;s__	0.9999999999862297
3a42324c24e0459cf298df225faa27cd	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__;s__	0.9999960476441404
