Eigvals	28																										
2.638849635	1.813492311	1.20225889	0.896639298	0.693481982	0.559671254	0.349792473	0.299850913	0.243740162	0.241446746	0.213076198	0.180746102	0.146345843	0.138096912	0.128867557	0.120922489	0.118710059	0.099676457	0.095402799	0.077346516	0.068609445	0.061343758	0.044389633	0.040597385	0.036880515	0.027836514	0.016105997	0
																											
Proportion explained	28																										
0.250028915	0.171826962	0.113913079	0.084955864	0.065706869	0.053028408	0.03314256	0.028410637	0.023094187	0.022876888	0.020188801	0.01712555	0.013866153	0.013084573	0.012210099	0.01145731	0.011247684	0.009444265	0.00903934	0.007328521	0.006500691	0.005812273	0.004205883	0.00384657	0.0034944	0.002637488	0.00152603	0
																											
Species	0	0																									
																											
Site	28	28																									
st1_1	0.361232797	0.114658162	0.005265105	-0.501877056	0.069186052	-0.006233232	-0.016893053	-0.057476885	-0.036068361	0.032656457	0.153372666	0.229844979	0.023019985	-0.060536321	-0.046052007	-0.024291507	0.033657473	0.000852637	-0.071182301	0.032507594	0.01644706	-0.00740634	0.005549272	0.011944762	0.046206021	-0.002109325	0.002828335
st1_2	0.354351547	0.131370365	0.028594927	-0.496431611	0.093161404	-0.029600098	0.022399748	0.020996385	-0.11653775	-0.157421312	-0.095321755	-0.121865567	-0.191103628	0.040008748	0.04387023	0.032266319	-0.003151594	-0.004974076	0.044485837	-0.006865542	-0.007660178	-0.000212204	-0.005767175	-0.005574679	-0.028776357	0.000337608	-0.002208389
st1_3	0.425544372	0.241869255	0.08663443	-0.271375459	0.109545015	-0.008277106	0.023802187	0.075862968	0.101259858	0.067612874	-0.093779209	-0.140684365	0.262012359	0.028385063	-0.009702598	-0.020353617	-0.049702155	-0.007945692	0.036503073	-0.023026768	-0.004588451	0.002726676	0.007291083	0.00061656	0.008386679	0.001675547	0.000448623
st1_4	0.470102416	0.319392995	0.122149715	0.142873944	0.046910131	0.015481141	0.000405557	0.040993374	0.160778206	0.14352926	0.022351652	0.068528879	-0.066525795	-0.019287794	-0.00707001	0.026696973	-0.012797576	0.001160879	-0.034935913	0.034766594	0.022340403	0.008110561	-0.029592372	-0.02991615	-0.126874034	-0.000829327	-0.008571796
st1_5	0.443785939	0.312401068	0.11390928	0.236629477	0.022469353	0.020807002	-0.010916513	0.049817712	0.164234194	0.118487276	-0.013594399	-0.024888874	-0.149733135	0.018063966	0.029357274	0.013197764	0.026280433	0.013354482	0.033315863	-0.03013356	-0.024893788	-0.00329856	0.024649591	0.026865261	0.112044407	0.001257007	0.007587873
st1_6	0.431776807	0.267447353	0.1149528	0.314536966	-0.008938505	0.032787327	-0.009584318	-0.040766562	-0.156631056	-0.126364504	0.00375821	-0.025513385	0.064712341	0.036490022	0.047161972	-0.137105156	0.195817345	-0.012311644	-0.031716794	0.018014543	0.009040986	-0.00196838	-0.002599325	-0.004187437	-0.009334988	-0.000355801	-0.001405136
st1_7	0.414884133	0.261234915	0.109185878	0.331835779	-0.017198857	0.035359339	-0.007613977	-0.057380521	-0.186895876	-0.139743793	0.038564595	0.049082354	0.039445307	-0.043881628	-0.062282516	0.103501951	-0.192948192	-0.00389947	0.026104441	-0.006561397	-0.00080279	-0.004101588	0.003672371	0.005840252	0.012492947	0.000344277	6.47E-05
st2_1	0.251274619	-0.365722982	-0.426894445	0.07125821	0.053448904	0.113663135	0.059040755	-0.106956596	0.053814286	-0.010558116	0.039758305	-0.145025488	-0.015751911	0.077863622	-0.010182044	0.010079967	-0.051954349	0.019709979	-0.125088169	0.110937151	0.077347039	-0.005102945	0.004728193	0.004111391	0.0211278	-0.001481053	0.00173449
st2_2	0.252373051	-0.359406386	-0.408667513	0.03128495	0.087330505	0.082826668	0.037196792	-0.121211998	0.046678132	-0.002991464	0.20465479	0.024830501	0.020084158	0.043721566	0.062906887	-0.015679432	0.011999484	-0.00469318	0.153858681	-0.072353436	-0.06122909	0.006015543	-0.000838788	-0.008962831	-0.02614409	0.003488824	-0.003946339
st2_3	-0.045290951	-0.320054625	0.182540072	0.052780396	0.16875622	-0.297191438	-0.190154902	0.043452713	-0.034396841	0.026324482	0.112149713	-0.112410862	0.016281887	-0.08370441	0.05136836	0.075961751	0.023077355	-0.014741237	-0.086620341	0.025767096	-0.114935612	0.024031721	0.010330252	-0.004651274	-0.002542906	0.017410472	-0.002518424
