sample-id	Site_layer	Site_old	Site	Phasic_community	Type	Depth_cm	Depth_group_cm	Depth_layer	pH	Na	K	Sulfate	Nitrate	Phosphate
st4-2C	st4_2	st4	SSPS3	Stunted_hardwood	Freshwater	12	0_to_30	Acrotelm	4.33	4.65	1.78	1.29	0.04	0.26
st4-3A	st4_3	st4	SSPS3	Stunted_hardwood	Freshwater	23	0_to_30	Acrotelm	4.01	5.45	0.56	1.3	0.08	0.18
st4-3B	st4_3	st4	SSPS3	Stunted_hardwood	Freshwater	23	0_to_30	Acrotelm	4.01	5.45	0.56	1.3	0.08	0.18
st4-3C	st4_3	st4	SSPS3	Stunted_hardwood	Freshwater	23	0_to_30	Acrotelm	4.01	5.45	0.56	1.3	0.08	0.18
st4-4A	st4_4	st4	SSPS3	Stunted_hardwood	Freshwater	48	30_to_100	Catotelm	3.94	3.1	0.45	0.86	0.11	0.25
st4-4B	st4_4	st4	SSPS3	Stunted_hardwood	Freshwater	48	30_to_100	Catotelm	3.94	3.1	0.45	0.86	0.11	0.25
st4-4C	st4_4	st4	SSPS3	Stunted_hardwood	Freshwater	48	30_to_100	Catotelm	3.94	3.1	0.45	0.86	0.11	0.25
st4-5A	st4_5	st4	SSPS3	Stunted_hardwood	Freshwater	98	30_to_100	Catotelm	4.09	5.3	0.86	3.46	0.54	0.08
st4-5B	st4_5	st4	SSPS3	Stunted_hardwood	Freshwater	98	30_to_100	Catotelm	4.09	5.3	0.86	3.46	0.54	0.08
st4-5C	st4_5	st4	SSPS3	Stunted_hardwood	Freshwater	98	30_to_100	Catotelm	4.09	5.3	0.86	3.46	0.54	0.08
st4-6A	st4_6	st4	SSPS3	Stunted_hardwood	Freshwater	183	100_to_200	Catotelm	5.16	5.67	0.36	1.26	0	0.12
st4-6B	st4_6	st4	SSPS3	Stunted_hardwood	Freshwater	183	100_to_200	Catotelm	5.16	5.67	0.36	1.26	0	0.12
st4-6C	st4_6	st4	SSPS3	Stunted_hardwood	Freshwater	183	100_to_200	Catotelm	5.16	5.67	0.36	1.26	0	0.12
st4-7A	st4_7	st4	SSPS3	Stunted_hardwood	Freshwater	198	100_to_200	Catotelm	5.37	4.13	0.42	0.86	0.11	0.06
st4-7B	st4_7	st4	SSPS3	Stunted_hardwood	Freshwater	198	100_to_200	Catotelm	5.37	4.13	0.42	0.86	0.11	0.06
st4-7C	st4_7	st4	SSPS3	Stunted_hardwood	Freshwater	198	100_to_200	Catotelm	5.37	4.13	0.42	0.86	0.11	0.06
st5-1A	st5_1	st5	SSPS4	Sawgrass	Freshwater	2	0_to_30	Acrotelm	4.11	11.92	1.6	0.47	0.01	0
st5-1B	st5_1	st5	SSPS4	Sawgrass	Freshwater	2	0_to_30	Acrotelm	4.11	11.92	1.6	0.47	0.01	0
st5-1C	st5_1	st5	SSPS4	Sawgrass	Freshwater	2	0_to_30	Acrotelm	4.11	11.92	1.6	0.47	0.01	0
st5-2A	st5_2	st5	SSPS4	Sawgrass	Freshwater	12	0_to_30	Acrotelm	4.23	5.57	0.7	0.54	0.01	0.16
st5-2B	st5_2	st5	SSPS4	Sawgrass	Freshwater	12	0_to_30	Acrotelm	4.23	5.57	0.7	0.54	0.01	0.16
st5-2C	st5_2	st5	SSPS4	Sawgrass	Freshwater	12	0_to_30	Acrotelm	4.23	5.57	0.7	0.54	0.01	0.16
st5-3A	st5_3	st5	SSPS4	Sawgrass	Freshwater	23	0_to_30	Acrotelm	4.16	5.34	0.19	0.5	0.03	0
st5-3B	st5_3	st5	SSPS4	Sawgrass	Freshwater	23	0_to_30	Acrotelm	4.16	5.34	0.19	0.5	0.03	0
st5-3C	st5_3	st5	SSPS4	Sawgrass	Freshwater	23	0_to_30	Acrotelm	4.16	5.34	0.19	0.5	0.03	0
st5-4A	st5_4	st5	SSPS4	Sawgrass	Freshwater	53	30_to_100	Catotelm	3.7	5.43	0.21	1.05	0.09	0.08
st5-4B	st5_4	st5	SSPS4	Sawgrass	Freshwater	53	30_to_100	Catotelm	3.7	5.43	0.21	1.05	0.09	0.08
st5-4C	st5_4	st5	SSPS4	Sawgrass	Freshwater	53	30_to_100	Catotelm	3.7	5.43	0.21	1.05	0.09	0.08
st5-5A	st5_5	st5	SSPS4	Sawgrass	Freshwater	93	30_to_100	Catotelm	3.6	7.65	0.59	1.7	0.01	1.6
st5-5B	st5_5	st5	SSPS4	Sawgrass	Freshwater	93	30_to_100	Catotelm	3.6	7.65	0.59	1.7	0.01	1.6
st5-5C	st5_5	st5	SSPS4	Sawgrass	Freshwater	93	30_to_100	Catotelm	3.6	7.65	0.59	1.7	0.01	1.6
st5-6A	st5_6	st5	SSPS4	Sawgrass	Freshwater	132	100_to_200	Catotelm	4.12	6.9	0.54	1.2	0.02	1.3
st5-6B	st5_6	st5	SSPS4	Sawgrass	Freshwater	132	100_to_200	Catotelm	4.12	6.9	0.54	1.2	0.02	1.3
st5-6C	st5_6	st5	SSPS4	Sawgrass	Freshwater	132	100_to_200	Catotelm	4.12	6.9	0.54	1.2	0.02	1.3
st5-7A	st5_7	st5	SSPS4	Sawgrass	Freshwater	198	100_to_200	Catotelm	4.4	4.31	0.28	0.41	0.08	1.5
st5-7B	st5_7	st5	SSPS4	Sawgrass	Freshwater	198	100_to_200	Catotelm	4.4	4.31	0.28	0.41	0.08	1.5
st5-7C	st5_7	st5	SSPS4	Sawgrass	Freshwater	198	100_to_200	Catotelm	4.4	4.31	0.28	0.41	0.08	1.5
