sample-id	Location	Site layer	Site_layer	Site	Phasic_community	Type	Depth_group_new	Depth_cm	Depth_group_cm	Depth_layer	pH	Na	K	Sulfate	Nitrate	Phosphate	Remove
SRR5311958	Panama-North	Campnosperma 0-4cm	Campnosperma 0-4cm	8	Campnosperma	Freshwater	0-4cm		0-4cm		3.8						
SRR5311959	Panama-North	Campnosperma 0-4cm	Campnosperma 0-4cm	8	Campnosperma	Freshwater	0-4cm		0-4cm		3.8						
SRR5311960	Panama-North	Campnosperma 0-4cm		8	Campnosperma	Freshwater	0-4cm		0-4cm		3.8						
SRR5311961	Panama-North	Campnosperma 0-4cm		7	Campnosperma	Freshwater	0-4cm		0-4cm		3.7						
SRR5311962	Panama-North	Campnosperma 0-4cm		7	Campnosperma	Freshwater	0-4cm		0-4cm		3.7						
SRR5311963	Panama-North	Campnosperma 0-4cm		7	Campnosperma	Freshwater	0-4cm		0-4cm		3.7						
SRR5311964	Panama-North	Campnosperma 0-4cm		6	Campnosperma	Freshwater	0-4cm		0-4cm		3.6						
SRR5311965	Panama-North	Campnosperma 0-4cm		6	Campnosperma	Freshwater	0-4cm		0-4cm		3.6						
SRR5311966	Panama-North	Campnosperma 0-4cm		6	Campnosperma	Freshwater	0-4cm		0-4cm		3.6						
SRR5311967	Panama-North	Mixed forest 0-4cm		5	Mixed forest	Freshwater	0-4cm		0-4cm		3.9						
SRR5311968	Panama-North	Mixed forest 0-4cm		5	Mixed forest	Freshwater	0-4cm		0-4cm		3.9						
SRR5311969	Panama-North	Mixed forest 0-4cm		5	Mixed forest	Freshwater	0-4cm		0-4cm		3.9						
SRR5311970	Panama-North	Mixed forest 0-4cm		4	Mixed forest	Freshwater	0-4cm		0-4cm		3.7						
SRR5311971	Panama-North	Mixed forest 0-4cm		4	Mixed forest	Freshwater	0-4cm		0-4cm		3.7						
SRR5311972	Panama-North	Mixed forest 0-4cm		4	Mixed forest	Freshwater	0-4cm		0-4cm		3.7						
SRR5311973	Panama-North	Mixed forest 0-4cm		3	Mixed forest	Freshwater	0-4cm		0-4cm		3.9						
SRR5311974	Panama-North	Mixed forest 0-4cm		3	Mixed forest	Freshwater	0-4cm		0-4cm		3.9						
